suite	id	result	method
structured_lemma	structured_lemma_qsynth_ea_csv_13_21	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_13_22	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_13_23	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_13_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_13_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_13_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_13_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_13_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_13_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_13_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_0	UNSAT	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_210_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_15	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_210_16	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_17	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_18	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_19	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_20	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_21	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_210_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_210_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_15	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_234_16	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_234_17	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_18	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_234_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_11	UNSAT	direct
