suite	id	result	method
required	required_p7e_qsynth_ea_csv_309	UNSAT	bit-fallback
required	required_p7e_qsynth_ea_csv_392	UNKNOWN	bit-fallback
required	required_p9l_loki_tiny_csv_11431	UNSAT	direct
required	required_p9l_loki_tiny_csv_12529	UNSAT	direct
required	required_p9l_loki_tiny_csv_12689	UNSAT	direct
required	required_p9l_loki_tiny_csv_13078	UNSAT	direct
required	required_p9l_loki_tiny_csv_13174	UNSAT	direct
required	required_p9l_loki_tiny_csv_14143	UNSAT	direct
required	required_p9l_loki_tiny_csv_14221	UNSAT	direct
required	required_p9l_loki_tiny_csv_14369	UNSAT	direct
required	required_p9l_loki_tiny_csv_14497	UNSAT	direct
required	required_p9l_loki_tiny_csv_14545	UNSAT	direct
required	required_p9l_loki_tiny_csv_16073	UNSAT	direct
required	required_p9l_loki_tiny_csv_17380	UNSAT	direct
required	required_p9l_loki_tiny_csv_17524	UNSAT	direct
required	required_p9l_loki_tiny_csv_17578	UNSAT	direct
required	required_p9l_loki_tiny_csv_17633	UNSAT	direct
required	required_p9l_loki_tiny_csv_17818	UNSAT	direct
required	required_p9l_loki_tiny_csv_17825	UNSAT	direct
required	required_p9l_loki_tiny_csv_17972	UNSAT	direct
required	required_p9l_loki_tiny_csv_17980	UNSAT	direct
required	required_p9l_loki_tiny_csv_17981	UNSAT	direct
required	required_p9l_loki_tiny_csv_18104	UNSAT	direct
required	required_p9l_loki_tiny_csv_18200	UNSAT	direct
required	required_p9l_loki_tiny_csv_18437	UNSAT	direct
required	required_p9l_loki_tiny_csv_18523	UNSAT	direct
required	required_p9l_loki_tiny_csv_18631	UNSAT	direct
required	required_p9l_loki_tiny_csv_18685	UNSAT	direct
required	required_p9l_loki_tiny_csv_19329	UNSAT	direct
required	required_p9l_loki_tiny_csv_19565	UNSAT	direct
required	required_p9l_loki_tiny_csv_19597	UNSAT	direct
required	required_p9l_loki_tiny_csv_19704	UNSAT	direct
required	required_p9l_loki_tiny_csv_19728	UNSAT	direct
required	required_p9l_loki_tiny_csv_19966	UNSAT	bit-fallback
required	required_p9l_loki_tiny_csv_22103	UNSAT	direct
required	required_p9l_loki_tiny_csv_23004	UNSAT	direct
required	required_p9l_loki_tiny_csv_2319	UNSAT	direct
required	required_p9l_loki_tiny_csv_23488	UNSAT	direct
required	required_p9l_loki_tiny_csv_23652	UNSAT	bit-fallback
required	required_p9l_loki_tiny_csv_23810	UNSAT	direct
required	required_p9l_loki_tiny_csv_23816	UNSAT	direct
required	required_p9l_loki_tiny_csv_24044	UNSAT	direct
required	required_p9l_loki_tiny_csv_24286	UNSAT	direct
required	required_p9l_loki_tiny_csv_24338	UNSAT	direct
required	required_p9l_loki_tiny_csv_24490	UNSAT	direct
required	required_p9l_loki_tiny_csv_24796	UNSAT	bit-fallback
required	required_p9l_loki_tiny_csv_24869	UNSAT	direct
required	required_p9l_loki_tiny_csv_24932	UNSAT	direct
required	required_p9l_loki_tiny_csv_2499	UNSAT	direct
required	required_p9l_loki_tiny_csv_2631	UNSAT	direct
required	required_p9l_loki_tiny_csv_2729	UNSAT	direct
required	required_p9l_loki_tiny_csv_2929	UNSAT	direct
required	required_p9l_loki_tiny_csv_3312	UNSAT	direct
required	required_p9l_loki_tiny_csv_3424	UNSAT	direct
required	required_p9l_loki_tiny_csv_3894	UNSAT	direct
required	required_p9l_loki_tiny_csv_3919	UNSAT	direct
required	required_p9l_loki_tiny_csv_4081	UNSAT	direct
required	required_p9l_loki_tiny_csv_4087	UNSAT	direct
required	required_p9l_loki_tiny_csv_4220	UNSAT	direct
required	required_p9l_loki_tiny_csv_4310	UNSAT	direct
required	required_p9l_loki_tiny_csv_4549	UNSAT	direct
required	required_p9l_loki_tiny_csv_4583	UNSAT	direct
required	required_p9l_loki_tiny_csv_4752	UNSAT	direct
required	required_p9l_loki_tiny_csv_7246	UNSAT	direct
required	required_p9l_loki_tiny_csv_7492	UNSAT	direct
required	required_p9l_loki_tiny_csv_8173	UNSAT	direct
required	required_p9l_loki_tiny_csv_8341	UNSAT	direct
required	required_p9l_loki_tiny_csv_8584	UNSAT	direct
required	required_p9l_loki_tiny_csv_8982	UNSAT	direct
required	required_p9l_loki_tiny_csv_9594	UNSAT	direct
required	required_p9l_loki_tiny_csv_9810	UNSAT	direct
