case,nodes,variables,median_seconds
qsynth_ea:159,138,3,0.000200609
qsynth_ea:160,90,3,0.000089490
qsynth_ea:161,341,2,0.004151146
qsynth_ea:162,24,2,0.000015200
qsynth_ea:163,1925,2,0.003098810
qsynth_ea:164,334,2,0.000458148
qsynth_ea:165,370,2,0.001737644
qsynth_ea:166,419,3,0.000175599
qsynth_ea:167,87,3,0.000613147
qsynth_ea:168,211,2,0.000926007
qsynth_ea:169,510,3,0.000528718
qsynth_ea:170,560,2,0.000116609
qsynth_ea:171,92,2,0.000048550
qsynth_ea:172,259,2,0.000103269
qsynth_ea:173,232,2,0.000328149
qsynth_ea:174,111,3,0.000448959
qsynth_ea:175,1037,3,0.001089216
qsynth_ea:176,166,3,0.000512899
qsynth_ea:177,220,2,0.000232359
qsynth_ea:178,48,2,0.000034500
qsynth_ea:179,48,3,0.000053659
qsynth_ea:180,473,3,0.002938331
qsynth_ea:181,70,2,0.000082779
qsynth_ea:182,47,2,0.000051250
qsynth_ea:183,161,3,0.000684348
qsynth_ea:184,38,2,0.000028050
qsynth_ea:185,171,2,0.000170309
qsynth_ea:186,861,3,0.008617119
qsynth_ea:187,1188,2,0.000321129
qsynth_ea:188,325,3,0.000862027
qsynth_ea:189,196,3,0.000245649
qsynth_ea:190,51,1,0.000016890
qsynth_ea:191,41,2,0.000116690
qsynth_ea:192,53,3,0.000033239
qsynth_ea:193,504,2,0.001013087
qsynth_ea:194,459,3,0.001537895
qsynth_ea:195,186,3,0.000428858
qsynth_ea:196,416,2,0.000304209
qsynth_ea:197,153,3,0.000585298
qsynth_ea:198,83,3,0.000152140
qsynth_ea:199,329,2,0.000670247
qsynth_ea:200,89,2,0.000191079
qsynth_ea:201,277,3,0.001043376
qsynth_ea:202,605,2,0.001315596
qsynth_ea:203,169,3,0.000424758
qsynth_ea:204,116,3,0.000568698
qsynth_ea:205,183,2,0.000261809
qsynth_ea:206,212,2,0.000699717
qsynth_ea:207,240,2,0.000313679
qsynth_ea:208,129,2,0.000118219
qsynth_ea:209,137,2,0.000133720
qsynth_ea:210,273,2,0.000561118
qsynth_ea:211,450,2,0.005076002
qsynth_ea:212,192,3,0.000058159
qsynth_ea:213,117,3,0.000895347
qsynth_ea:214,1025,2,0.000041080
qsynth_ea:215,552,3,0.004330216
qsynth_ea:216,907,3,0.001049897
qsynth_ea:217,453,3,0.004135835
qsynth_ea:218,301,3,0.000306889
qsynth_ea:219,443,2,0.000481978
qsynth_ea:220,392,2,0.000312519
qsynth_ea:221,193,3,0.000232329
qsynth_ea:222,537,2,0.001779004
qsynth_ea:223,143,2,0.000192330
qsynth_ea:224,148,2,0.000206239
qsynth_ea:225,45,2,0.000025120
qsynth_ea:226,177,1,0.000045210
qsynth_ea:227,123,3,0.000081249
qsynth_ea:228,405,2,0.000509288
qsynth_ea:229,806,1,0.001875953
qsynth_ea:230,21,2,0.000007830
qsynth_ea:231,217,3,0.000989257
qsynth_ea:232,75,3,0.000104780
qsynth_ea:233,243,2,0.000322889
qsynth_ea:234,423,2,0.003112199
qsynth_ea:235,437,2,0.001207406
qsynth_ea:236,97,1,0.000353509
qsynth_ea:237,303,2,0.000173589
qsynth_ea:238,351,2,0.001073017
qsynth_ea:239,125,1,0.000138569
qsynth_ea:240,265,2,0.000937337
qsynth_ea:241,93,2,0.000397628
qsynth_ea:242,164,2,0.000404489
qsynth_ea:243,310,3,0.000422898
qsynth_ea:244,189,2,0.000477668
qsynth_ea:245,62,2,0.000142640
qsynth_ea:246,108,3,0.000290639
qsynth_ea:247,127,2,0.000061389
qsynth_ea:248,51,3,0.000122649
qsynth_ea:249,666,2,0.001493515
qsynth_ea:250,153,2,0.000101360
qsynth_ea:251,167,2,0.000038090
qsynth_ea:252,101,3,0.000426009
qsynth_ea:253,98,3,0.000079540
qsynth_ea:254,199,2,0.000154159
qsynth_ea:255,144,3,0.000426919
qsynth_ea:256,144,2,0.000191959
qsynth_ea:257,56,3,0.000043489
qsynth_ea:258,296,3,0.000477729
qsynth_ea:259,118,3,0.000244549
