case,nodes,variables,median_seconds
qsynth_ea:159,138,3,0.000184080
qsynth_ea:160,90,3,0.000088120
qsynth_ea:161,341,2,0.003787326
qsynth_ea:162,24,2,0.000015280
qsynth_ea:163,1925,2,0.002964550
qsynth_ea:164,334,2,0.000402739
qsynth_ea:165,370,2,0.001641773
qsynth_ea:166,419,3,0.000157430
qsynth_ea:167,87,3,0.000511618
qsynth_ea:168,211,2,0.000876997
qsynth_ea:169,510,3,0.000468258
qsynth_ea:170,560,2,0.000114179
qsynth_ea:171,92,2,0.000047440
qsynth_ea:172,259,2,0.000101990
qsynth_ea:173,232,2,0.000297089
qsynth_ea:174,111,3,0.000366118
qsynth_ea:175,1037,3,0.001056667
qsynth_ea:176,166,3,0.000418169
qsynth_ea:177,220,2,0.000211619
qsynth_ea:178,48,2,0.000032220
qsynth_ea:179,48,3,0.000046480
qsynth_ea:180,473,3,0.002729660
qsynth_ea:181,70,2,0.000077400
qsynth_ea:182,47,2,0.000048549
qsynth_ea:183,161,3,0.000605998
qsynth_ea:184,38,2,0.000027470
qsynth_ea:185,171,2,0.000161379
qsynth_ea:186,861,3,0.007872973
qsynth_ea:187,1188,2,0.000295148
qsynth_ea:188,325,3,0.000778757
qsynth_ea:189,196,3,0.000223979
qsynth_ea:190,51,1,0.000016220
qsynth_ea:191,41,2,0.000102509
qsynth_ea:192,53,3,0.000031779
qsynth_ea:193,504,2,0.000707527
qsynth_ea:194,459,3,0.001398965
qsynth_ea:195,186,3,0.000362969
qsynth_ea:196,416,2,0.000289109
qsynth_ea:197,153,3,0.000564908
qsynth_ea:198,83,3,0.000165790
qsynth_ea:199,329,2,0.000613858
qsynth_ea:200,89,2,0.000171329
qsynth_ea:201,277,3,0.000907507
qsynth_ea:202,605,2,0.001225355
qsynth_ea:203,169,3,0.000307218
qsynth_ea:204,116,3,0.000541758
qsynth_ea:205,183,2,0.000216079
qsynth_ea:206,212,2,0.000649727
qsynth_ea:207,240,2,0.000297489
qsynth_ea:208,129,2,0.000111179
qsynth_ea:209,137,2,0.000126190
qsynth_ea:210,273,2,0.000570408
qsynth_ea:211,450,2,0.004540205
qsynth_ea:212,192,3,0.000058320
qsynth_ea:213,117,3,0.000747607
qsynth_ea:214,1025,2,0.000040610
qsynth_ea:215,552,3,0.003843077
qsynth_ea:216,907,3,0.001000066
qsynth_ea:217,453,3,0.003840737
qsynth_ea:218,301,3,0.000294119
qsynth_ea:219,443,2,0.000479698
qsynth_ea:220,392,2,0.000297869
qsynth_ea:221,193,3,0.000219179
qsynth_ea:222,537,2,0.001584295
qsynth_ea:223,143,2,0.000163949
qsynth_ea:224,148,2,0.000174229
qsynth_ea:225,45,2,0.000024420
qsynth_ea:226,177,1,0.000044520
qsynth_ea:227,123,3,0.000078250
qsynth_ea:228,405,2,0.000507558
qsynth_ea:229,806,1,0.001790544
qsynth_ea:230,21,2,0.000007320
qsynth_ea:231,217,3,0.000831507
qsynth_ea:232,75,3,0.000103189
qsynth_ea:233,243,2,0.000293249
qsynth_ea:234,423,2,0.002816961
qsynth_ea:235,437,2,0.001084576
qsynth_ea:236,97,1,0.000343968
qsynth_ea:237,303,2,0.000166890
qsynth_ea:238,351,2,0.000920127
qsynth_ea:239,125,1,0.000136199
qsynth_ea:240,265,2,0.000904107
qsynth_ea:241,93,2,0.000356269
qsynth_ea:242,164,2,0.000382418
qsynth_ea:243,310,3,0.000355619
qsynth_ea:244,189,2,0.000447278
qsynth_ea:245,62,2,0.000122569
qsynth_ea:246,108,3,0.000231919
qsynth_ea:247,127,2,0.000060140
qsynth_ea:248,51,3,0.000119700
qsynth_ea:249,666,2,0.001390505
qsynth_ea:250,153,2,0.000095060
qsynth_ea:251,167,2,0.000037170
qsynth_ea:252,101,3,0.000363209
qsynth_ea:253,98,3,0.000075350
qsynth_ea:254,199,2,0.000146929
qsynth_ea:255,144,3,0.000375028
qsynth_ea:256,144,2,0.000185600
qsynth_ea:257,56,3,0.000037650
qsynth_ea:258,296,3,0.000442009
qsynth_ea:259,118,3,0.000231319
qsynth_ea:260,225,3,0.001116857
qsynth_ea:261,16,1,0.000013760
qsynth_ea:262,269,2,0.000790688
qsynth_ea:263,684,3,0.001815614
qsynth_ea:264,346,2,0.000157000
qsynth_ea:265,96,2,0.000149900
qsynth_ea:266,236,2,0.000108179
qsynth_ea:267,495,3,0.007417904
qsynth_ea:268,185,2,0.000255769
qsynth_ea:269,163,3,0.000087039
qsynth_ea:270,152,2,0.000865887
qsynth_ea:271,294,3,0.001998353
qsynth_ea:272,467,3,0.001308395
qsynth_ea:273,81,2,0.000027270
qsynth_ea:274,248,2,0.000509008
qsynth_ea:275,99,3,0.000113320
qsynth_ea:276,636,3,0.000956746
qsynth_ea:277,393,2,0.003413238
qsynth_ea:278,414,2,0.000615328
qsynth_ea:279,69,1,0.000037800
qsynth_ea:280,444,2,0.000577318
qsynth_ea:281,102,2,0.000055450
qsynth_ea:282,175,2,0.000369989
qsynth_ea:283,1845,2,0.003637787
qsynth_ea:284,397,2,0.000360679
qsynth_ea:285,56,3,0.000031460
qsynth_ea:286,356,2,0.000134640
qsynth_ea:287,76,2,0.000140079
qsynth_ea:288,357,3,0.000021900
qsynth_ea:289,289,2,0.000466339
qsynth_ea:290,99,2,0.000120369
qsynth_ea:291,242,3,0.000054000
qsynth_ea:292,626,2,0.000762618
qsynth_ea:293,221,2,0.000626248
qsynth_ea:294,219,2,0.000813367
qsynth_ea:295,191,2,0.000632428
qsynth_ea:296,971,2,0.001826784
qsynth_ea:297,181,2,0.000091580
qsynth_ea:298,1105,2,0.004049257
qsynth_ea:299,102,2,0.000100139
qsynth_ea:300,172,2,0.000414269
qsynth_ea:301,184,2,0.000121059
qsynth_ea:302,73,2,0.000063630
qsynth_ea:303,178,2,0.001056026
qsynth_ea:304,645,2,0.000184929
qsynth_ea:305,468,3,0.002038453
qsynth_ea:306,429,3,0.000332949
qsynth_ea:307,264,1,0.000068560
qsynth_ea:308,90,3,0.000070880
qsynth_ea:309,125,3,0.000406269
qsynth_ea:310,212,2,0.000087220
qsynth_ea:311,99,2,0.000077760
